MPI_processes,Total_trials,Points_inside,Ratio,Estimated_pi,Absolute_error,Execution_time
1,1000,787,0.787,3.148,0.00640734641,0.000025
2,1000,769,0.769,3.076,0.06559265359,0.000022
3,1000,804,0.804,3.216,0.07440734641,0.000018
4,1000,792,0.792,3.168,0.02640734641,0.000031
5,1000,768,0.768,3.072,0.06959265359,0.000032
6,1000,776,0.776,3.104,0.03759265359,0.000029
1,2000,1590,0.795,3.18,0.03840734641,0.000061
2,2000,1599,0.7995,3.198,0.05640734641,0.000033
3,2000,1589,0.7945,3.178,0.03640734641,0.000024
4,2000,1582,0.791,3.164,0.02240734641,0.000031
5,2000,1582,0.791,3.164,0.02240734641,0.000034
6,2000,1551,0.7755,3.102,0.03959265359,0.000042
1,3000,2342,0.780666666667,3.122666666667,0.018925986923,0.000055
2,3000,2392,0.797333333333,3.189333333333,0.047740679744,0.000038
3,3000,2364,0.788,3.152,0.01040734641,0.000034
4,3000,2367,0.789,3.156,0.01440734641,0.000033
5,3000,2315,0.771666666667,3.086666666667,0.054925986923,0.000038
6,3000,2384,0.794666666667,3.178666666667,0.037074013077,0.000553
1,4000,3154,0.7885,3.154,0.01240734641,0.000072
2,4000,3113,0.77825,3.113,0.02859265359,0.000047
3,4000,3149,0.78725,3.149,0.00740734641,0.000033
4,4000,3165,0.79125,3.165,0.02340734641,0.000039
5,4000,3145,0.78625,3.145,0.00340734641,0.000043
6,4000,3152,0.788,3.152,0.01040734641,0.000109
1,5000,3938,0.7876,3.1504,0.00880734641,0.000087
2,5000,3916,0.7832,3.1328,0.00879265359,0.000056
3,5000,3911,0.7822,3.1288,0.01279265359,0.000064
4,5000,3920,0.784,3.136,0.00559265359,0.00004
5,5000,3875,0.775,3.1,0.04159265359,0.000048
6,5000,3911,0.7822,3.1288,0.01279265359,0.000049
1,6000,4705,0.784166666667,3.136666666667,0.004925986923,0.000104
2,6000,4765,0.794166666667,3.176666666667,0.035074013077,0.000067
3,6000,4729,0.788166666667,3.152666666667,0.011074013077,0.000047
4,6000,4782,0.797,3.188,0.04640734641,0.000045
5,6000,4695,0.7825,3.13,0.01159265359,0.000046
6,6000,4753,0.792166666667,3.168666666667,0.027074013077,0.00008
1,7000,5480,0.782857142857,3.131428571429,0.010164082161,0.000119
2,7000,5495,0.785,3.14,0.00159265359,0.000076
3,7000,5450,0.778571428571,3.114285714286,0.027306939304,0.000061
4,7000,5542,0.791714285714,3.166857142857,0.025264489267,0.00006
5,7000,5477,0.782428571429,3.129714285714,0.011878367876,0.000046
6,7000,5490,0.784285714286,3.137142857143,0.004449796447,0.000048
1,8000,6292,0.7865,3.146,0.00440734641,0.000135
2,8000,6274,0.78425,3.137,0.00459265359,0.000079
3,8000,6278,0.78475,3.139,0.00259265359,0.000057
4,8000,6332,0.7915,3.166,0.02440734641,0.000059
5,8000,6299,0.787375,3.1495,0.00790734641,0.000049
6,8000,6241,0.780125,3.1205,0.02109265359,0.000055
1,9000,7026,0.780666666667,3.122666666667,0.018925986923,0.000153
2,9000,7064,0.784888888889,3.139555555556,0.002037098034,0.000094
3,9000,7106,0.789555555556,3.158222222222,0.016629568632,0.000061
4,9000,7041,0.782333333333,3.129333333333,0.012259320256,0.000057
5,9000,7066,0.785111111111,3.140444444444,0.001148209145,0.000071
6,9000,7084,0.787111111111,3.148444444444,0.006851790855,0.000113
